Model,EvaluatedUsers_mean,EvaluatedUsers_std,Precision@5_mean,Precision@5_std,Recall@5_mean,Recall@5_std,F1@5_mean,F1@5_std,Precision@10_mean,Precision@10_std,Recall@10_mean,Recall@10_std,F1@10_mean,F1@10_std,RMSE,MAE,Coverage_mean,Coverage_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std
Content-Based,90.1,2.3309511649396115,0.04880105103669788,0.005118652555075942,0.13560998165316476,0.012158556146115546,0.07159822004896099,0.006071196638745135,0.050706842823431963,0.006305594245790789,0.28378065541783376,0.02140940384458345,0.08597663675333563,0.009820890597968807,,,0.8828571428571429,0.016218463205644195,,,,
Collaborative Filtering,90.1,2.3309511649396115,0.0503869116365749,0.009362174186605182,0.14601959869637474,0.032256406398748036,0.07465268397705886,0.01387937708638997,0.051760840355030126,0.009165652802021272,0.2962115419217227,0.04629971014402634,0.08804136440530877,0.015056000783304598,,,0.862857142857143,0.022537446792760412,1.2663007022964479,0.04053136294263092,1.0877438931526173,0.04170503142442026
Hybrid,90.1,2.3309511649396115,0.051741499239921517,0.0052258150273135654,0.1452887100280998,0.01783257225716821,0.07610994542027436,0.007111337981906109,0.05156558979212415,0.00816252787984309,0.2923524201449055,0.03307037120650147,0.08762248118421422,0.01315580626980796,,,0.9142857142857143,0.04040610178208842,,,,
